,x,y,label
0,15.55,28.65,3.0
1,14.9,27.55,3.0
2,14.45,28.35,3.0
3,14.15,28.8,3.0
4,13.75,28.05,3.0
5,13.35,28.45,3.0
6,13.0,29.15,3.0
7,13.45,27.5,3.0
8,13.6,26.5,3.0
9,12.8,27.35,3.0
10,12.4,27.85,3.0
11,12.3,28.4,3.0
12,12.2,28.65,3.0
13,13.4,25.1,3.0
14,12.95,25.95,3.0
15,12.9,26.5,3.0
16,11.85,27.0,3.0
17,11.35,28.0,3.0
18,11.15,28.7,3.0
19,11.25,27.4,3.0
20,10.75,27.7,3.0
21,10.5,28.35,3.0
22,9.65,28.45,3.0
23,10.25,27.25,3.0
24,10.75,26.55,3.0
25,11.7,26.35,3.0
26,11.6,25.9,3.0
27,11.9,25.05,3.0
28,12.6,24.05,3.0
29,11.9,24.5,3.0
30,11.1,25.2,3.0
31,10.55,25.15,3.0
32,10.05,25.95,3.0
33,9.35,26.6,3.0
34,9.3,27.25,3.0
35,9.2,27.8,3.0
36,7.5,28.25,3.0
37,8.55,27.45,3.0
38,8.5,27.05,3.0
39,8.05,27.2,3.0
40,7.85,26.8,3.0
41,7.3,27.4,3.0
42,6.8,26.85,3.0
43,7.0,26.5,3.0
44,7.55,26.3,3.0
45,8.55,26.3,3.0
46,9.0,25.85,3.0
47,8.6,25.65,3.0
48,9.4,25.55,3.0
49,8.45,25.05,3.0
50,8.85,24.6,3.0
51,9.65,24.7,3.0
52,10.55,24.35,3.0
53,11.05,23.9,3.0
54,10.55,23.55,3.0
55,9.45,23.35,3.0
56,9.2,23.9,3.0
57,8.35,23.9,3.0
58,7.35,24.75,3.0
59,7.4,25.45,3.0
60,6.6,25.75,3.0
61,6.1,26.0,3.0
62,5.8,26.95,3.0
63,5.65,25.8,3.0
64,5.3,26.1,3.0
65,6.4,25.4,3.0
66,5.4,25.25,3.0
67,5.35,24.7,3.0
68,4.8,25.05,3.0
69,4.2,25.55,3.0
70,6.4,24.8,3.0
71,6.55,24.3,3.0
72,7.4,24.25,3.0
73,5.45,24.2,3.0
74,4.3,24.0,3.0
75,4.0,24.25,3.0
76,3.35,23.3,3.0
