,Density Peak,K-Means,DBSCAN,Hierarchical Clustering,Spectral Clustering,EM-GMM
100010558,3.0,1.0,-1.0,3.0,1.0,1.0
1000133770,2.0,3.0,-1.0,1.0,1.0,3.0
100157364,1.0,1.0,-1.0,3.0,1.0,1.0
10017157,0.0,2.0,-1.0,2.0,0.0,2.0
10021188,1.0,1.0,-1.0,3.0,3.0,1.0
1002119223,1.0,0.0,0.0,0.0,3.0,0.0
100248234,0.0,0.0,0.0,0.0,3.0,0.0
10025,3.0,1.0,-1.0,3.0,1.0,1.0
1002644397,0.0,2.0,0.0,0.0,3.0,0.0
1002765,2.0,3.0,-1.0,1.0,1.0,3.0
1003318319,1.0,0.0,0.0,0.0,3.0,0.0
10034592,0.0,0.0,0.0,0.0,3.0,0.0
1004004,1.0,0.0,0.0,0.0,3.0,0.0
1004093,0.0,2.0,2.0,2.0,3.0,2.0
100411578,1.0,0.0,0.0,0.0,3.0,0.0
10042474,1.0,0.0,0.0,0.0,3.0,0.0
1004302,0.0,2.0,-1.0,2.0,0.0,2.0
100434920,1.0,0.0,0.0,0.0,3.0,0.0
1004377,3.0,1.0,-1.0,3.0,1.0,1.0
1004524,3.0,1.0,-1.0,3.0,1.0,1.0
1004965,3.0,3.0,-1.0,1.0,1.0,3.0
100503169,2.0,3.0,-1.0,1.0,1.0,3.0
1005277735,0.0,2.0,0.0,0.0,3.0,0.0
1005555,0.0,2.0,0.0,2.0,3.0,2.0
100594135,0.0,2.0,0.0,2.0,3.0,2.0
100600199,0.0,2.0,-1.0,2.0,0.0,2.0
10061005,0.0,2.0,-1.0,2.0,0.0,2.0
100636,0.0,0.0,0.0,0.0,3.0,0.0
1006935,0.0,2.0,1.0,2.0,3.0,2.0
1007074,0.0,0.0,0.0,0.0,3.0,0.0
10073874,0.0,2.0,1.0,2.0,3.0,2.0
1007391,0.0,2.0,-1.0,2.0,0.0,2.0
1007551,1.0,0.0,0.0,0.0,3.0,0.0
100782,1.0,0.0,0.0,0.0,3.0,0.0
1007915710,2.0,3.0,-1.0,1.0,1.0,3.0
1007970,0.0,2.0,1.0,2.0,3.0,2.0
1008009,2.0,3.0,-1.0,1.0,1.0,3.0
1008445,1.0,0.0,0.0,0.0,3.0,0.0
