,Density Peak,K-Means,DBSCAN,Hierarchical Clustering,Spectral Clustering,EM-GMM
100010558,3.0,1.0,0.0,0.0,1.0,3.0
1000133770,5.0,5.0,5.0,3.0,1.0,1.0
100157364,4.0,4.0,0.0,2.0,2.0,4.0
10017157,2.0,4.0,0.0,2.0,2.0,0.0
10021188,4.0,4.0,0.0,2.0,2.0,4.0
1002119223,0.0,3.0,0.0,5.0,2.0,0.0
100248234,4.0,4.0,0.0,2.0,2.0,4.0
10025,1.0,3.0,0.0,0.0,2.0,0.0
1002644397,4.0,0.0,-1.0,1.0,2.0,4.0
1002765,5.0,5.0,-1.0,3.0,1.0,1.0
1003318319,4.0,4.0,0.0,2.0,2.0,4.0
10034592,3.0,5.0,1.0,3.0,1.0,1.0
1004004,4.0,0.0,-1.0,1.0,2.0,2.0
1004093,0.0,3.0,0.0,5.0,2.0,0.0
100411578,4.0,4.0,0.0,2.0,2.0,4.0
10042474,3.0,1.0,0.0,0.0,1.0,3.0
1004302,3.0,1.0,0.0,0.0,1.0,3.0
100434920,4.0,4.0,0.0,2.0,2.0,4.0
1004377,0.0,3.0,0.0,5.0,2.0,0.0
1004524,5.0,2.0,-1.0,4.0,3.0,5.0
1004965,5.0,5.0,1.0,3.0,1.0,1.0
100503169,5.0,5.0,2.0,3.0,1.0,1.0
1005277735,5.0,5.0,-1.0,3.0,1.0,1.0
1005555,0.0,3.0,0.0,5.0,2.0,0.0
100594135,5.0,2.0,-1.0,4.0,3.0,5.0
100600199,5.0,5.0,-1.0,3.0,1.0,1.0
10061005,1.0,3.0,0.0,0.0,2.0,0.0
100636,3.0,1.0,0.0,0.0,1.0,3.0
1006935,4.0,4.0,0.0,2.0,2.0,4.0
1007074,3.0,1.0,0.0,0.0,1.0,3.0
10073874,3.0,1.0,0.0,0.0,1.0,3.0
1007391,0.0,3.0,0.0,5.0,2.0,0.0
1007551,5.0,2.0,-1.0,4.0,3.0,5.0
100782,4.0,4.0,0.0,2.0,2.0,4.0
1007915710,5.0,5.0,-1.0,3.0,1.0,1.0
1007970,2.0,3.0,0.0,5.0,2.0,0.0
1008009,1.0,3.0,0.0,0.0,2.0,0.0
1008445,4.0,4.0,-1.0,1.0,2.0,4.0
1008682,1.0,3.0,0.0,0.0,2.0,0.0
1008809497,5.0,2.0,-1.0,4.0,1.0,5.0
10095440,4.0,4.0,0.0,2.0,2.0,4.0
100957255,3.0,1.0,0.0,0.0,1.0,3.0
100958424,3.0,1.0,0.0,3.0,1.0,3.0
10100133,0.0,3.0,0.0,5.0,2.0,0.0
1010324,4.0,4.0,0.0,2.0,2.0,4.0
101041,3.0,1.0,0.0,0.0,1.0,3.0
101096583,4.0,0.0,-1.0,1.0,0.0,2.0
10112304,3.0,1.0,0.0,0.0,1.0,3.0
101127102,3.0,1.0,0.0,0.0,1.0,3.0
10119885,0.0,3.0,0.0,5.0,2.0,0.0
1012086,1.0,3.0,0.0,0.0,2.0,0.0
1012271658,5.0,2.0,-1.0,4.0,3.0,5.0
10125746,4.0,0.0,-1.0,1.0,0.0,2.0
1012591,4.0,0.0,-1.0,1.0,0.0,2.0
101281730,1.0,3.0,0.0,0.0,1.0,0.0
10131238,0.0,3.0,0.0,5.0,2.0,0.0
101355975,1.0,3.0,0.0,0.0,1.0,0.0
1013729,4.0,0.0,-1.0,1.0,0.0,2.0
1013867,4.0,4.0,0.0,2.0,2.0,4.0
1013981,0.0,3.0,0.0,5.0,2.0,0.0
1014126,3.0,1.0,0.0,0.0,1.0,3.0
1014230,3.0,1.0,0.0,0.0,1.0,3.0
10146834,3.0,1.0,0.0,0.0,1.0,3.0
1014699303,3.0,1.0,0.0,0.0,1.0,3.0
1014995,3.0,1.0,0.0,0.0,1.0,3.0
101529958,0.0,3.0,0.0,5.0,2.0,0.0
1015551,0.0,3.0,0.0,5.0,2.0,0.0
1015713500,5.0,2.0,-1.0,4.0,3.0,5.0
101580342,0.0,3.0,0.0,0.0,2.0,0.0
101588587,4.0,0.0,-1.0,1.0,0.0,2.0
1015891,5.0,5.0,-1.0,3.0,1.0,1.0
10161180,3.0,1.0,0.0,0.0,1.0,3.0
10161821,3.0,1.0,0.0,0.0,1.0,3.0
10168840,1.0,3.0,0.0,0.0,2.0,0.0
101719016,4.0,4.0,-1.0,1.0,2.0,4.0
101726,4.0,4.0,0.0,2.0,2.0,4.0
101744050,4.0,4.0,0.0,2.0,2.0,4.0
1017516288,3.0,1.0,0.0,0.0,1.0,3.0
10179427,0.0,3.0,0.0,5.0,2.0,0.0
1018027,3.0,1.0,0.0,0.0,1.0,3.0
1018072,3.0,1.0,0.0,0.0,1.0,3.0
1018422,1.0,3.0,0.0,0.0,2.0,0.0
101860,0.0,3.0,0.0,5.0,2.0,0.0
101881,3.0,1.0,0.0,0.0,1.0,3.0
10189358,3.0,1.0,0.0,0.0,1.0,3.0
1019076,3.0,1.0,0.0,0.0,1.0,3.0
101913,3.0,1.0,0.0,0.0,1.0,3.0
101913355,4.0,4.0,0.0,2.0,2.0,4.0
101917674,4.0,4.0,0.0,2.0,2.0,4.0
10192866,5.0,5.0,-1.0,3.0,1.0,1.0
10195082,3.0,1.0,0.0,0.0,1.0,3.0
10195472,5.0,2.0,-1.0,4.0,3.0,5.0
1019584695,4.0,0.0,-1.0,1.0,2.0,2.0
10197156,4.0,4.0,0.0,2.0,2.0,4.0
10197181,3.0,1.0,0.0,0.0,1.0,3.0
102000397,3.0,1.0,0.0,0.0,1.0,3.0
10201673,5.0,5.0,3.0,3.0,1.0,1.0
1020220351,0.0,3.0,0.0,5.0,2.0,0.0
1020366,4.0,4.0,0.0,2.0,2.0,4.0
10206931,1.0,3.0,0.0,0.0,2.0,0.0
102182468,3.0,1.0,0.0,3.0,1.0,3.0
1021825471,4.0,4.0,0.0,2.0,2.0,4.0
10219578,5.0,5.0,-1.0,3.0,1.0,1.0
1022042202,3.0,1.0,0.0,0.0,1.0,3.0
10221074,0.0,3.0,0.0,5.0,2.0,0.0
10224616,5.0,5.0,-1.0,3.0,1.0,1.0
10224659,3.0,1.0,0.0,0.0,1.0,3.0
10224854,3.0,1.0,0.0,0.0,1.0,3.0
10226877,4.0,4.0,0.0,2.0,2.0,4.0
1022862,4.0,4.0,0.0,2.0,2.0,4.0
1023005,2.0,3.0,0.0,5.0,2.0,0.0
102303122,4.0,4.0,0.0,2.0,2.0,4.0
1023317,3.0,1.0,0.0,0.0,1.0,3.0
10237055,3.0,1.0,0.0,0.0,1.0,3.0
102391223,5.0,2.0,-1.0,4.0,3.0,5.0
102393258,5.0,2.0,-1.0,4.0,3.0,5.0
1024232,1.0,3.0,0.0,0.0,2.0,0.0
10242712,3.0,1.0,0.0,0.0,1.0,3.0
10243163,4.0,0.0,-1.0,1.0,2.0,2.0
10245643,3.0,3.0,0.0,0.0,1.0,3.0
1024564509,1.0,3.0,0.0,0.0,2.0,0.0
1024603006,4.0,4.0,0.0,2.0,2.0,4.0
102473578,5.0,2.0,-1.0,4.0,3.0,5.0
1024768,4.0,4.0,0.0,2.0,2.0,4.0
1024858307,1.0,3.0,0.0,0.0,2.0,0.0
10250327,5.0,5.0,2.0,3.0,1.0,1.0
10255791,5.0,5.0,3.0,3.0,1.0,1.0
1025713,1.0,3.0,0.0,0.0,2.0,0.0
102572,5.0,5.0,-1.0,3.0,1.0,1.0
1026259143,3.0,1.0,0.0,0.0,1.0,3.0
10266951,0.0,3.0,0.0,5.0,2.0,0.0
1026864686,5.0,5.0,-1.0,3.0,1.0,1.0
