,Density Peak,K-Means,DBSCAN,Hierarchical Clustering,Spectral Clustering,EM-GMM
100010558,1.0,1.0,0.0,3.0,0.0,0.0
1000133770,0.0,1.0,0.0,3.0,0.0,0.0
100157364,1.0,1.0,0.0,2.0,0.0,0.0
10017157,1.0,5.0,0.0,2.0,0.0,4.0
10021188,0.0,1.0,0.0,3.0,0.0,0.0
1002119223,2.0,4.0,-1.0,4.0,2.0,3.0
100248234,5.0,0.0,-1.0,1.0,2.0,1.0
10025,0.0,1.0,0.0,3.0,0.0,0.0
1002644397,1.0,5.0,0.0,2.0,0.0,4.0
1002765,0.0,1.0,0.0,3.0,0.0,0.0
1003318319,1.0,1.0,0.0,2.0,0.0,0.0
10034592,1.0,1.0,0.0,2.0,0.0,0.0
1004004,2.0,0.0,-1.0,4.0,2.0,1.0
1004093,1.0,1.0,0.0,2.0,0.0,0.0
100411578,1.0,5.0,0.0,2.0,2.0,4.0
10042474,1.0,1.0,0.0,2.0,0.0,0.0
1004302,1.0,1.0,0.0,2.0,0.0,0.0
100434920,2.0,0.0,-1.0,4.0,2.0,1.0
1004377,3.0,1.0,0.0,3.0,0.0,0.0
1004524,0.0,1.0,-1.0,3.0,0.0,0.0
1004965,0.0,1.0,0.0,3.0,0.0,0.0
100503169,0.0,1.0,0.0,3.0,0.0,0.0
1005277735,4.0,1.0,0.0,3.0,0.0,0.0
1005555,1.0,5.0,0.0,2.0,0.0,4.0
100594135,3.0,1.0,0.0,3.0,0.0,0.0
100600199,1.0,1.0,0.0,2.0,0.0,0.0
10061005,1.0,1.0,0.0,2.0,0.0,0.0
100636,1.0,1.0,0.0,2.0,0.0,0.0
1006935,1.0,1.0,0.0,2.0,0.0,0.0
1007074,3.0,1.0,0.0,3.0,0.0,0.0
10073874,1.0,5.0,0.0,1.0,2.0,4.0
1007391,1.0,1.0,0.0,3.0,0.0,0.0
1007551,1.0,1.0,0.0,3.0,0.0,0.0
100782,1.0,1.0,0.0,3.0,0.0,0.0
1007915710,0.0,1.0,0.0,3.0,0.0,0.0
1007970,0.0,1.0,0.0,3.0,0.0,0.0
1008009,0.0,1.0,0.0,3.0,0.0,0.0
1008445,1.0,1.0,0.0,3.0,0.0,0.0
1008682,1.0,1.0,0.0,2.0,0.0,0.0
1008809497,5.0,5.0,1.0,1.0,2.0,4.0
10095440,4.0,1.0,0.0,3.0,0.0,0.0
100957255,3.0,1.0,0.0,3.0,0.0,0.0
100958424,0.0,1.0,0.0,3.0,0.0,0.0
10100133,1.0,5.0,0.0,1.0,2.0,4.0
1010324,1.0,5.0,0.0,2.0,0.0,4.0
101041,0.0,1.0,0.0,3.0,0.0,0.0
101096583,2.0,0.0,-1.0,4.0,2.0,1.0
10112304,1.0,5.0,0.0,1.0,2.0,4.0
101127102,1.0,1.0,0.0,2.0,0.0,0.0
10119885,1.0,5.0,0.0,1.0,2.0,4.0
1012086,1.0,5.0,0.0,2.0,0.0,4.0
1012271658,1.0,5.0,0.0,2.0,0.0,4.0
10125746,5.0,5.0,-1.0,1.0,2.0,4.0
1012591,2.0,4.0,-1.0,4.0,2.0,3.0
101281730,1.0,1.0,0.0,3.0,0.0,0.0
10131238,1.0,5.0,0.0,2.0,2.0,4.0
101355975,1.0,1.0,0.0,2.0,0.0,0.0
1013729,2.0,4.0,-1.0,0.0,3.0,5.0
1013867,5.0,0.0,-1.0,1.0,2.0,1.0
1013981,0.0,1.0,0.0,3.0,0.0,0.0
1014126,1.0,1.0,0.0,2.0,0.0,0.0
1014230,0.0,1.0,0.0,3.0,0.0,0.0
10146834,0.0,1.0,0.0,3.0,0.0,0.0
1014699303,1.0,1.0,0.0,2.0,0.0,0.0
1014995,0.0,1.0,0.0,3.0,0.0,0.0
101529958,5.0,0.0,-1.0,1.0,2.0,1.0
1015551,1.0,1.0,0.0,2.0,0.0,0.0
1015713500,1.0,1.0,0.0,3.0,0.0,0.0
