,user_id,username
0,21719636,"['b_f', 'o_l', 'bethanyzhao']"
1,2574437,"['神_f', '0_l', '神童', '710']"
2,1964659,"['L_f', 'k_l', 'LukaLuk']"
3,2774623,"['轮_f', '舞_l', '轮', '舞']"
4,3861727,"['I_f', 'x_l', 'Isaxx']"
5,15582434,"['晚_f', '荷_l', '晚', '荷']"
6,1026259143,"['麦_f', '__l', '麦', '兜', '不吃', '粗', '_']"
7,39110333,"['明_f', '号_l', '明天', '32', '号']"
8,131367256,"['陈_f', 'C_l', '陈', '珍妮', 'Jenny.C']"
9,7152956,"['b_f', '7_l', 'blackberry77']"
10,624814,"['琢_f', '瑶_l', '琢', '瑶']"
11,42123543,"['悠_f', '8_l', '悠悠', '月', '0628']"
12,22983289,"['油_f', '飘_l', '油菜花', '飘']"
13,26558338,"['毛_f', '虫_l', '毛', '驴', '虫', '虫']"
14,17936618,"['e_f', '1_l', 'ellen_l1']"
15,13840356,"['a_f', 'i_l', 'applekai']"
16,19829983,"['姜_f', '儿_l', '姜', '小白']"
17,4508452,"['x_f', '7_l', 'xuguowen1987']"
18,622942,"['c_f', 'k_l', 'cenpak']"
19,25168235,"['阿_f', '妈_l', '宝', '弟', '妈']"
20,28272116,"['弄_f', '囡_l', '弄堂', '小', '囡囡']"
21,10619140,"['m_f', '5_l', 'moe0305']"
22,40020647,"['游_f', 'y_l', '游', '小', '雯', 'Lily']"
23,1096405248,"['囡_f', '海_l', '囡囡', '吃', '遍', '上海']"
24,26186902,"['h_f', 'y_l', 'heitaly']"
25,18110320,"['宝_f', '蛋_l', '宝宝', '2', '蛋', '蛋']"
26,11664889,"['l_f', '0_l', 'lulu7710']"
27,43880812,"['卢_f', '麻_l', '卢', '麻', '麻']"
28,5374560,"['蓝_f', '糖_l', '蓝', '小', '糖']"
29,1342313,"['岳_f', '青_l', '岳', '霖', '青青']"
30,196712219,"['江_f', '狼_l', '江湖', '风', '雨', '无情', '狼']"
31,1418137,"['天_f', '晓_l', '晓']"
32,1052854,"['无_f', '值_l', '无法', '体现', '价值']"
33,26740774,"['y_f', '姐_l', 'yoyoTang', '小姐']"
34,1133678,"['夕_f', '去_l', '夕', '去']"
35,2348477,"['哼_f', '呸_l', '哼哼', 'and']"
36,8576519,"['一_f', '行_l', '一天', '淘', '都不', '行']"
37,779256,"['心_f', '蓝_l', '心', '依然', '幽幽', '蓝']"
38,859106488,"['璃_f', '。_l', '璃', '殇']"
39,2570044,"['爱_f', '5_l', '爱', '吃', '鬼', '555']"
40,400520,"['琉_f', '森_l', '琉璃', '之森']"
41,6073676,"['美_f', '活_l', '美食', '改变', '生活']"
42,3996512,"['海_f', '壮_l', '海', '一般', '蓝', '壮', '壮']"
43,2691460,"['w_f', 'i_l', 'willshanghai']"
44,4281678,"['笑_f', '输_l', '笑', '忘', '输']"
45,5959730,"['甜_f', '喜_l', '甜蜜', '惊喜']"
46,1792771,"['花_f', '裳_l', '花', '逝', '痕', '裳']"
47,4764081,"['d_f', '2_l', 'dpuserAt_5321574612']"
48,20749469,"['b_f', '1_l', 'balrby11']"
49,2890695,"['兔_f', '周_l', '兔', '乖乖', '_', '周', '周']"
50,7016335,"['梦_f', '君_l', '梦', '燕', '君']"
51,3956320,"['m_f', '4_l', 'maomi654']"
52,5920800,"['s_f', 'y_l', 'sunforway']"
53,34597072,"['w_f', '鱼_l', 'wo', '小', '飞鱼']"
54,1047496,"['v_f', '6_l', 'vivian_9396']"
55,2979704,"['z_f', 'a_l', 'zoeywawa']"
56,2029720,"['泡_f', '鱼_l', '泡泡', '宝宝', '鱼']"
57,1043186838,"['n_f', '一_l', 'nono', '十一']"
58,9475663,"['泡_f', '菇_l', '泡', '椒', '蘑菇']"
59,11599575,"['千_f', '金_l', '千', '忍', '成金']"
60,54033153,"['等_f', '呢_l', '妹']"
61,2972011,"['食_f', '星_l', '食肉', '星']"
62,1074994522,"['m_f', 'm_l', '红豆', '糯米', '糍']"
63,127807,"['小_f', '河_l', '小', '邵', '_', '多瑙河']"
64,1342477,"['c_f', '8_l', 'cici138']"
65,6340451,"['m_f', '4_l', 'mmys1984']"
66,33392655,"['s_f', '0_l', 'sue2120']"
67,772110501,"['荒_f', '～_l', '荒野', '鹰']"
68,18084427,"['必_f', '朗_l', '必然', '晴朗']"
