,x,y
0,328749,3462140
1,328749,3462220
2,328749,3462300
3,328749,3462380
4,328749,3462460
5,328749,3462540
6,328749,3462620
7,328749,3462700
8,328749,3462780
9,328749,3462860
10,328749,3462940
11,328749,3463020
12,328749,3463100
13,328749,3463180
14,328749,3463260
15,328749,3463340
16,328749,3463420
17,328829,3462140
18,328829,3462220
19,328829,3462300
20,328829,3462380
21,328829,3462460
22,328829,3462540
23,328829,3462620
24,328829,3462700
25,328829,3462780
26,328829,3462860
27,328829,3462940
28,328829,3463020
29,328829,3463100
30,328829,3463180
31,328829,3463260
32,328829,3463340
33,328829,3463420
34,328909,3462140
35,328909,3462220
36,328909,3462300
37,328909,3462380
38,328909,3462460
39,328909,3462540
40,328909,3462620
41,328909,3462700
42,328909,3462780
43,328909,3462860
44,328909,3462940
45,328909,3463020
46,328909,3463100
47,328909,3463180
48,328909,3463260
49,328909,3463340
50,328909,3463420
51,328989,3462140
52,328989,3462220
53,328989,3462300
54,328989,3462380
55,328989,3462460
56,328989,3462540
57,328989,3462620
58,328989,3462700
59,328989,3462780
60,328989,3462860
61,328989,3462940
62,328989,3463020
63,328989,3463100
64,328989,3463180
65,328989,3463260
66,328989,3463340
67,328989,3463420
68,329069,3462140
69,329069,3462220
70,329069,3462300
71,329069,3462380
72,329069,3462460
73,329069,3462540
74,329069,3462620
75,329069,3462700
76,329069,3462780
77,329069,3462860
78,329069,3462940
79,329069,3463020
80,329069,3463100
81,329069,3463180
82,329069,3463260
83,329069,3463340
84,329069,3463420
85,329149,3462140
86,329149,3462220
87,329149,3462300
88,329149,3462380
89,329149,3462460
90,329149,3462540
91,329149,3462620
92,329149,3462700
93,329149,3462780
94,329149,3462860
95,329149,3462940
96,329149,3463020
97,329149,3463100
98,329149,3463180
99,329149,3463260
100,329149,3463340
101,329149,3463420
102,329229,3462140
103,329229,3462220
104,329229,3462300
105,329229,3462380
106,329229,3462460
107,329229,3462540
108,329229,3462620
109,329229,3462700
110,329229,3462780
111,329229,3462860
112,329229,3462940
113,329229,3463020
114,329229,3463100
115,329229,3463180
116,329229,3463260
117,329229,3463340
118,329229,3463420
119,329309,3462140
120,329309,3462220
121,329309,3462300
122,329309,3462380
123,329309,3462460
124,329309,3462540
125,329309,3462620
126,329309,3462700
127,329309,3462780
128,329309,3462860
129,329309,3462940
130,329309,3463020
131,329309,3463100
132,329309,3463180
133,329309,3463260
134,329309,3463340
135,329309,3463420
136,329389,3462140
137,329389,3462220
138,329389,3462300
139,329389,3462380
140,329389,3462460
141,329389,3462540
142,329389,3462620
143,329389,3462700
144,329389,3462780
145,329389,3462860
146,329389,3462940
147,329389,3463020
148,329389,3463100
149,329389,3463180
150,329389,3463260
151,329389,3463340
152,329389,3463420
153,329469,3462140
154,329469,3462220
155,329469,3462300
156,329469,3462380
157,329469,3462460
158,329469,3462540
159,329469,3462620
160,329469,3462700
161,329469,3462780
162,329469,3462860
163,329469,3462940
164,329469,3463020
165,329469,3463100
166,329469,3463180
167,329469,3463260
168,329469,3463340
169,329469,3463420
170,329549,3462140
171,329549,3462220
172,329549,3462300
173,329549,3462380
174,329549,3462460
175,329549,3462540
176,329549,3462620
177,329549,3462700
178,329549,3462780
179,329549,3462860
180,329549,3462940
181,329549,3463020
182,329549,3463100
183,329549,3463180
184,329549,3463260
185,329549,3463340
186,329549,3463420
187,329629,3462140
188,329629,3462220
189,329629,3462300
190,329629,3462380
191,329629,3462460
192,329629,3462540
193,329629,3462620
194,329629,3462700
195,329629,3462780
196,329629,3462860
197,329629,3462940
198,329629,3463020
199,329629,3463100
200,329629,3463180
201,329629,3463260
202,329629,3463340
203,329629,3463420
204,329709,3462140
205,329709,3462220
206,329709,3462300
207,329709,3462380
208,329709,3462460
209,329709,3462540
210,329709,3462620
211,329709,3462700
212,329709,3462780
213,329709,3462860
214,329709,3462940
215,329709,3463020
216,329709,3463100
217,329709,3463180
218,329709,3463260
219,329709,3463340
220,329709,3463420
221,329789,3462140
222,329789,3462220
223,329789,3462300
224,329789,3462380
225,329789,3462460
226,329789,3462540
227,329789,3462620
228,329789,3462700
229,329789,3462780
230,329789,3462860
231,329789,3462940
232,329789,3463020
233,329789,3463100
234,329789,3463180
235,329789,3463260
236,329789,3463340
237,329789,3463420
238,329869,3462140
239,329869,3462220
240,329869,3462300
241,329869,3462380
242,329869,3462460
243,329869,3462540
244,329869,3462620
245,329869,3462700
246,329869,3462780
247,329869,3462860
248,329869,3462940
249,329869,3463020
250,329869,3463100
251,329869,3463180
252,329869,3463260
253,329869,3463340
254,329869,3463420
255,329949,3462140
256,329949,3462220
257,329949,3462300
258,329949,3462380
259,329949,3462460
260,329949,3462540
261,329949,3462620
262,329949,3462700
263,329949,3462780
264,329949,3462860
265,329949,3462940
266,329949,3463020
267,329949,3463100
268,329949,3463180
269,329949,3463260
270,329949,3463340
271,329949,3463420
272,330029,3462140
273,330029,3462220
274,330029,3462300
275,330029,3462380
276,330029,3462460
277,330029,3462540
278,330029,3462620
279,330029,3462700
280,330029,3462780
281,330029,3462860
282,330029,3462940
283,330029,3463020
284,330029,3463100
285,330029,3463180
286,330029,3463260
287,330029,3463340
288,330029,3463420
289,330109,3462140
290,330109,3462220
291,330109,3462300
292,330109,3462380
293,330109,3462460
294,330109,3462540
295,330109,3462620
296,330109,3462700
297,330109,3462780
298,330109,3462860
299,330109,3462940
300,330109,3463020
301,330109,3463100
302,330109,3463180
303,330109,3463260
304,330109,3463340
305,330109,3463420
306,330189,3462140
307,330189,3462220
308,330189,3462300
309,330189,3462380
310,330189,3462460
311,330189,3462540
312,330189,3462620
313,330189,3462700
314,330189,3462780
315,330189,3462860
316,330189,3462940
317,330189,3463020
318,330189,3463100
319,330189,3463180
320,330189,3463260
321,330189,3463340
322,330189,3463420
323,330269,3462140
324,330269,3462220
325,330269,3462300
326,330269,3462380
327,330269,3462460
328,330269,3462540
329,330269,3462620
330,330269,3462700
331,330269,3462780
332,330269,3462860
333,330269,3462940
334,330269,3463020
335,330269,3463100
336,330269,3463180
337,330269,3463260
338,330269,3463340
339,330269,3463420
340,330349,3462140
341,330349,3462220
342,330349,3462300
343,330349,3462380
344,330349,3462460
345,330349,3462540
346,330349,3462620
347,330349,3462700
348,330349,3462780
349,330349,3462860
350,330349,3462940
351,330349,3463020
352,330349,3463100
353,330349,3463180
354,330349,3463260
355,330349,3463340
356,330349,3463420
