,x,y
0,328749,3462140
1,328749,3462190
2,328749,3462240
3,328749,3462290
4,328749,3462340
5,328749,3462390
6,328749,3462440
7,328749,3462490
8,328749,3462540
9,328749,3462590
10,328749,3462640
11,328749,3462690
12,328749,3462740
13,328749,3462790
14,328749,3462840
15,328749,3462890
16,328749,3462940
17,328749,3462990
18,328749,3463040
19,328749,3463090
20,328749,3463140
21,328749,3463190
22,328749,3463240
23,328749,3463290
24,328749,3463340
25,328749,3463390
26,328749,3463440
27,328799,3462140
28,328799,3462190
29,328799,3462240
30,328799,3462290
31,328799,3462340
32,328799,3462390
33,328799,3462440
34,328799,3462490
35,328799,3462540
36,328799,3462590
37,328799,3462640
38,328799,3462690
39,328799,3462740
40,328799,3462790
41,328799,3462840
42,328799,3462890
43,328799,3462940
44,328799,3462990
45,328799,3463040
46,328799,3463090
47,328799,3463140
48,328799,3463190
49,328799,3463240
50,328799,3463290
51,328799,3463340
52,328799,3463390
53,328799,3463440
54,328849,3462140
55,328849,3462190
56,328849,3462240
57,328849,3462290
58,328849,3462340
59,328849,3462390
60,328849,3462440
61,328849,3462490
62,328849,3462540
63,328849,3462590
64,328849,3462640
65,328849,3462690
66,328849,3462740
67,328849,3462790
68,328849,3462840
69,328849,3462890
70,328849,3462940
71,328849,3462990
72,328849,3463040
73,328849,3463090
74,328849,3463140
75,328849,3463190
76,328849,3463240
77,328849,3463290
78,328849,3463340
79,328849,3463390
80,328849,3463440
81,328899,3462140
82,328899,3462190
83,328899,3462240
84,328899,3462290
85,328899,3462340
86,328899,3462390
87,328899,3462440
88,328899,3462490
89,328899,3462540
90,328899,3462590
91,328899,3462640
92,328899,3462690
93,328899,3462740
94,328899,3462790
95,328899,3462840
96,328899,3462890
97,328899,3462940
98,328899,3462990
99,328899,3463040
100,328899,3463090
101,328899,3463140
102,328899,3463190
103,328899,3463240
104,328899,3463290
105,328899,3463340
106,328899,3463390
107,328899,3463440
108,328949,3462140
109,328949,3462190
110,328949,3462240
111,328949,3462290
112,328949,3462340
113,328949,3462390
114,328949,3462440
115,328949,3462490
116,328949,3462540
117,328949,3462590
118,328949,3462640
119,328949,3462690
120,328949,3462740
121,328949,3462790
122,328949,3462840
123,328949,3462890
124,328949,3462940
125,328949,3462990
126,328949,3463040
127,328949,3463090
128,328949,3463140
129,328949,3463190
130,328949,3463240
131,328949,3463290
132,328949,3463340
133,328949,3463390
134,328949,3463440
135,328999,3462140
136,328999,3462190
137,328999,3462240
138,328999,3462290
139,328999,3462340
140,328999,3462390
141,328999,3462440
142,328999,3462490
143,328999,3462540
144,328999,3462590
145,328999,3462640
146,328999,3462690
