,label
0,666
1,666
2,666
3,666
4,666
5,666
6,666
7,666
8,666
9,666
10,693
11,693
12,693
13,693
14,720
15,720
16,720
17,720
18,747
19,747
20,748
21,747
22,747
23,775
24,699
25,699
26,672
27,672
28,672
29,672
30,672
31,672
32,672
33,672
34,699
35,699
36,699
37,699
38,699
39,699
40,672
41,672
42,699
43,699
44,699
45,699
46,673
47,673
48,673
49,673
50,673
51,673
52,673
53,673
54,673
55,672
56,672
57,644
58,644
59,644
60,643
61,642
62,615
63,615
64,615
65,614
66,587
67,586
68,586
69,585
70,558
71,557
72,557
73,557
74,557
75,529
76,528
77,528
78,528
79,473
80,472
81,445
82,445
83,444
84,444
85,443
86,443
87,443
88,443
89,442
90,469
91,469
92,468
93,467
94,494
95,467
96,466
97,466
98,466
99,466
100,466
101,466
102,466
103,466
104,466
105,466
106,466
107,466
108,466
109,466
110,466
111,466
112,466
113,466
114,466
115,466
116,466
117,466
118,466
119,466
120,466
121,466
122,466
123,466
124,466
125,466
126,466
127,466
128,466
129,466
130,466
131,465
132,465
133,465
134,465
135,465
136,439
137,439
138,439
139,439
140,439
141,439
142,439
143,439
144,699
145,699
146,672
147,672
148,672
149,645
150,644
151,644
152,644
153,643
154,643
155,643
156,615
157,615
158,615
159,614
160,614
161,614
162,614
163,586
164,586
165,586
166,586
167,585
168,585
169,585
170,585
171,585
172,557
173,557
174,557
175,557
176,557
177,585
178,585
179,586
180,586
181,586
182,586
183,586
184,613
185,614
186,614
187,614
188,614
189,642
190,642
191,642
192,642
193,643
194,643
195,643
196,643
197,644
198,644
199,644
200,671
201,672
202,672
203,672
204,672
205,672
206,673
207,673
208,617
209,617
210,672
211,672
212,672
213,672
214,671
215,644
216,644
217,643
218,643
219,643
220,642
221,642
222,615
223,615
224,614
225,614
226,587
227,587
228,587
229,586
230,586
231,586
232,585
233,585
234,557
235,557
236,558
237,558
238,529
239,530
240,503
241,502
242,503
243,502
244,503
245,503
246,503
247,673
248,673
249,673
250,673
251,673
252,673
253,673
254,672
255,672
256,672
257,672
258,671
259,644
260,644
261,644
262,643
263,643
264,643
265,642
266,642
267,615
268,615
269,466
270,466
271,466
272,494
273,494
274,495
275,495
276,468
277,468
278,469
279,469
280,469
281,469
282,469
283,442
284,443
285,443
286,443
287,443
288,443
289,470
290,471
291,471
292,471
293,472
294,472
295,472
296,499
297,500
298,500
299,500
300,500
301,500
302,500
303,528
304,528
305,528
306,528
307,501
308,529
309,529
310,529
311,529
312,529
313,557
314,557
315,557
316,557
317,558
318,585
319,586
320,586
321,586
322,586
323,586
324,614
325,614
326,614
327,614
328,614
329,642
330,642
331,642
332,643
333,643
334,643
335,643
336,644
337,644
338,644
339,644
340,672
341,672
342,672
343,672
344,672
345,672
346,672
347,672
348,672
349,672
350,672
351,672
352,608
353,609
354,608
355,609
356,609
357,609
358,582
359,582
360,583
361,556
362,556
363,556
364,557
365,557
366,557
367,558
368,558
369,585
370,585
371,585
372,585
373,586
374,614
375,614
376,614
377,614
378,614
379,615
380,642
381,642
382,616
383,616
384,616
385,616
386,589
387,589
388,589
389,589
390,563
391,563
392,563
393,563
394,563
395,536
396,536
397,536
398,509
399,482
400,482
401,455
402,455
403,454
404,454
405,428
406,428
407,401
408,374
409,374
410,374
411,347
412,347
413,347
414,347
415,320
416,320
417,320
418,293
419,293
420,294
421,294
422,294
423,295
424,295
425,295
426,295
427,295
428,296
429,296
430,269
431,269
432,269
433,269
434,269
435,242
436,242
437,215
438,215
439,215
440,215
441,188
442,161
443,161
444,134
445,134
446,134
447,107
448,107
449,107
450,107
451,80
452,79
453,52
454,51
455,51
456,51
457,50
458,50
459,50
460,77
461,77
462,76
463,76
464,76
465,103
466,102
467,102
468,102
469,102
470,101
471,101
472,128
473,127
474,127
475,127
476,154
477,154
478,154
479,153
480,153
481,180
482,180
483,180
484,179
485,179
486,206
487,206
488,206
489,205
490,205
491,178
492,178
493,177
494,177
495,177
496,176
497,176
498,176
499,202
500,202
501,202
502,202
503,202
504,202
505,228
506,228
507,228
508,255
509,255
510,255
511,254
512,254
513,281
514,281
515,281
516,280
517,280
518,307
519,307
